Ska:                                 0.9 : 9
Amiable/Good-Natured:                0.8400000000000001 : 8
Laid-Back/Mellow:                    0.8400000000000001 : 8
Summery:                             0.8400000000000001 : 8
Sweet:                               0.8400000000000001 : 8
Warm:                                0.8400000000000001 : 8
Bittersweet:                         0.78 : 7
Celebratory:                         0.78 : 7
Cheerful:                            0.78 : 7
Plaintive:                           0.78 : 7
Soothing:                            0.78 : 7
At the Beach:                        0.78 : 7
Day Driving:                         0.78 : 7
Freedom:                             0.78 : 7
Pool Party:                          0.78 : 7
Summer:                              0.78 : 7
Rocksteady:                          0.72 : 6
Bright:                              0.72 : 6
Gentle:                              0.72 : 6
Innocent:                            0.72 : 6
Lively:                              0.72 : 6
Passionate:                          0.72 : 6
Atmospheric:                         0.66 : 5
Earnest:                             0.66 : 5
Earthy:                              0.66 : 5
Eerie:                               0.66 : 5
Intimate:                            0.66 : 5
Organic:                             0.66 : 5
Poignant:                            0.66 : 5
Street-Smart:                        0.66 : 5
Hanging Out:                         0.66 : 5
Introspection:                       0.66 : 5
Late Night:                          0.66 : 5
Rainy Day:                           0.66 : 5
Road Trip:                           0.66 : 5
Small Gathering:                     0.66 : 5
Sentimental:                         0.6 : 4
