Cold:                                0.9 : 9
Electronica:                         0.8571428571428572 : 8
Trip-Hop:                            0.8571428571428572 : 8
Angst-Ridden:                        0.8571428571428572 : 8
Atmospheric:                         0.8571428571428572 : 8
Bleak:                               0.8571428571428572 : 8
Brooding:                            0.8571428571428572 : 8
Druggy:                              0.8571428571428572 : 8
Malevolent:                          0.8571428571428572 : 8
Nocturnal:                           0.8571428571428572 : 8
Sensual:                             0.8571428571428572 : 8
Volatile:                            0.8571428571428572 : 8
Heartache:                           0.8571428571428572 : 8
Ambitious:                           0.8142857142857143 : 7
Somber:                              0.8142857142857143 : 7
Seduction:                           0.8142857142857143 : 7
Intense:                             0.7714285714285715 : 6
Ominous:                             0.7714285714285715 : 6
Sexy:                                0.7714285714285715 : 6
Tense/Anxious:                       0.7714285714285715 : 6
Late Night:                          0.7714285714285715 : 6
Eerie:                               0.7285714285714286 : 5
In Love:                             0.7285714285714286 : 5
The Creative Side:                   0.7285714285714286 : 5
Literate:                            0.6428571428571428 : 3
Elegant:                             0.6 : 2
