Club:                                0.9 : 9
Club/Dance:                          0.825 : 8
Electronica:                         0.825 : 8
Bright:                              0.825 : 8
Energetic:                           0.825 : 8
Freewheeling:                        0.825 : 8
Fun:                                 0.825 : 8
Rousing:                             0.825 : 8
Exercise/Workout:                    0.825 : 8
Carefree:                            0.75 : 7
Celebratory:                         0.75 : 7
Confident:                           0.75 : 7
Exuberant:                           0.75 : 7
Hypnotic:                            0.75 : 7
Stylish:                             0.75 : 7
Trippy:                              0.75 : 7
Hanging Out:                         0.75 : 7
Partying:                            0.75 : 7
Playful:                             0.75 : 7
The Creative Side:                   0.75 : 7
Left-Field House:                    0.6749999999999999 : 6
Playful_mood:                        0.6749999999999999 : 6
Witty:                               0.6749999999999999 : 6
House:                               0.6 : 5
