Progressive Electronic:              0.9 : 8
Classical Crossover:                 0.8 : 7
Calm/Peaceful:                       0.8 : 7
Delicate:                            0.8 : 7
Ethereal:                            0.8 : 7
Gentle:                              0.8 : 7
Reflective:                          0.8 : 7
Restrained:                          0.8 : 7
Introspection:                       0.8 : 7
Meditation:                          0.8 : 7
Relaxation:                          0.8 : 7
The Creative Side:                   0.8 : 7
Refined:                             0.7000000000000001 : 6
Soothing:                            0.7000000000000001 : 6
Reflection:                          0.7000000000000001 : 6
Solitude:                            0.7000000000000001 : 6
Detached:                            0.6 : 5
