Club:                                0.9 : 9
Club/Dance:                          0.8250000000000001 : 8
Electronica:                         0.8250000000000001 : 8
House:                               0.8250000000000001 : 8
Bright:                              0.8250000000000001 : 8
Celebratory:                         0.8250000000000001 : 8
Energetic:                           0.8250000000000001 : 8
Freewheeling:                        0.8250000000000001 : 8
Fun:                                 0.8250000000000001 : 8
Hypnotic:                            0.8250000000000001 : 8
Rousing:                             0.8250000000000001 : 8
Stylish:                             0.8250000000000001 : 8
Exercise/Workout:                    0.8250000000000001 : 8
Partying:                            0.8250000000000001 : 8
Carefree:                            0.75 : 7
Confident:                           0.75 : 7
Exuberant:                           0.75 : 7
Trippy:                              0.75 : 7
Hanging Out:                         0.75 : 7
Playful:                             0.75 : 7
The Creative Side:                   0.75 : 7
Left-Field House:                    0.6749999999999999 : 6
Playful_mood:                        0.6749999999999999 : 6
Witty:                               0.6749999999999999 : 6
Big Beat:                            0.6 : 5
