Sing-Alongs:                         0.9 : 9
Earnest:                             0.8400000000000001 : 8
Freedom:                             0.8400000000000001 : 8
Confident:                           0.78 : 7
Earthy:                              0.78 : 7
Exuberant:                           0.78 : 7
Joyous:                              0.78 : 7
Organic:                             0.78 : 7
Rousing:                             0.78 : 7
Spiritual:                           0.78 : 7
Empowering:                          0.78 : 7
Motivation:                          0.78 : 7
Revolutionary:                       0.78 : 7
Literate:                            0.6599999999999999 : 5
Sunday Afternoon:                    0.6 : 4
