Old-Timey:                           0.9 : 9
Traditional Country:                 0.825 : 8
Traditional Folk:                    0.825 : 8
Bittersweet:                         0.825 : 8
Playful_mood:                        0.825 : 8
Whimsical:                           0.825 : 8
Reminiscing:                         0.825 : 8
Sweet:                               0.75 : 7
Loss/Grief:                          0.75 : 7
Sentimental:                         0.6749999999999999 : 6
Wry:                                 0.6749999999999999 : 6
Amiable/Good-Natured:                0.6 : 5
