Progressive Electronic:              0.9 : 9
Ambient:                             0.8250000000000001 : 8
Chamber Jazz:                        0.8250000000000001 : 8
Soothing:                            0.75 : 7
Warm:                                0.75 : 7
Wistful:                             0.75 : 7
Reflection:                          0.75 : 7
Dramatic:                            0.6749999999999999 : 6
Elegant:                             0.6749999999999999 : 6
Hypnotic:                            0.6749999999999999 : 6
Lush:                                0.6749999999999999 : 6
Melancholy:                          0.6749999999999999 : 6
Plaintive:                           0.6749999999999999 : 6
Poignant:                            0.6749999999999999 : 6
Refined:                             0.6749999999999999 : 6
Reflective:                          0.6749999999999999 : 6
Sophisticated:                       0.6749999999999999 : 6
Stylish:                             0.6749999999999999 : 6
Introspection:                       0.6749999999999999 : 6
Autumnal:                            0.6 : 5
