Ska:                                 0.9 : 9
Bluebeat:                            0.825 : 8
Amiable/Good-Natured:                0.825 : 8
Laid-Back/Mellow:                    0.825 : 8
Organic:                             0.825 : 8
Summery:                             0.825 : 8
Sweet:                               0.825 : 8
Empowering:                          0.825 : 8
Motivation:                          0.825 : 8
Rocksteady:                          0.75 : 7
Earnest:                             0.75 : 7
Plaintive:                           0.75 : 7
Soothing:                            0.75 : 7
Freedom:                             0.75 : 7
Summer:                              0.75 : 7
Exuberant:                           0.6749999999999999 : 6
Gentle:                              0.6749999999999999 : 6
Atmospheric:                         0.6 : 5
Earthy:                              0.6 : 5
Eerie:                               0.6 : 5
Intimate:                            0.6 : 5
Poignant:                            0.6 : 5
Street-Smart:                        0.6 : 5
Hanging Out:                         0.6 : 5
Introspection:                       0.6 : 5
Late Night:                          0.6 : 5
Rainy Day:                           0.6 : 5
Road Trip:                           0.6 : 5
Small Gathering:                     0.6 : 5
