Sparkling:                           0.9 : 9
Exotica:                             0.825 : 8
Space Age Pop:                       0.825 : 8
Campy:                               0.825 : 8
Exuberant:                           0.825 : 8
Fun:                                 0.825 : 8
Gleeful:                             0.825 : 8
Playful_mood:                        0.825 : 8
Wry:                                 0.825 : 8
Hanging Out:                         0.825 : 8
Playful:                             0.825 : 8
Pool Party:                          0.825 : 8
Summer:                              0.825 : 8
Amiable/Good-Natured:                0.75 : 7
Carefree:                            0.75 : 7
Energetic:                           0.75 : 7
Freewheeling:                        0.75 : 7
Quirky:                              0.75 : 7
Whimsical:                           0.75 : 7
Mischievous:                         0.75 : 7
Lounge:                              0.6749999999999999 : 6
The Creative Side:                   0.6749999999999999 : 6
In Love:                             0.6 : 5
New Love:                            0.6 : 5
