Contemporary Pop/Rock:               0.9 : 9
Album Rock:                          0.8625 : 8
Bravado:                             0.825 : 7
Confident:                           0.825 : 7
Freewheeling:                        0.825 : 7
Fun:                                 0.825 : 7
Greasy:                              0.825 : 7
Happy:                               0.825 : 7
Nocturnal:                           0.825 : 7
Nostalgic:                           0.825 : 7
Rousing:                             0.825 : 7
Sentimental:                         0.825 : 7
Street-Smart:                        0.825 : 7
Hanging Out:                         0.825 : 7
Late Night:                          0.825 : 7
Night Driving:                       0.825 : 7
Road Trip:                           0.825 : 7
Enigmatic:                           0.7875 : 6
Laid-Back/Mellow:                    0.7875 : 6
Plaintive:                           0.7875 : 6
Rollicking:                          0.7875 : 6
Smooth:                              0.7875 : 6
Swaggering:                          0.7875 : 6
Rainy Day:                           0.75 : 5
Reminiscing:                         0.75 : 5
Blues-Rock:                          0.6 : 1
Pub Rock:                            0.6 : 1
Roots Rock:                          0.6 : 1
