Instrumental Pop:                    0.9 : 9
Exotica:                             0.8250000000000001 : 8
Lounge:                              0.8250000000000001 : 8
Effervescent:                        0.8250000000000001 : 8
Playful:                             0.8250000000000001 : 8
Amiable/Good-Natured:                0.75 : 7
Carefree:                            0.75 : 7
Lively:                              0.75 : 7
Quirky:                              0.75 : 7
Springlike:                          0.75 : 7
Theatrical:                          0.75 : 7
Witty:                               0.75 : 7
Sunday Afternoon:                    0.75 : 7
Cheerful:                            0.675 : 6
Fun:                                 0.675 : 6
Giddy:                               0.675 : 6
Playful_mood:                        0.675 : 6
Whimsical:                           0.675 : 6
Hanging Out:                         0.675 : 6
Spring:                              0.675 : 6
Precious:                            0.6 : 5
