Sentimental:                         0.9000000000000001 : 8
Contemporary Folk:                   0.8 : 7
Singer/Songwriter:                   0.8 : 7
Searching:                           0.8 : 7
Yearning:                            0.8 : 7
Autumnal:                            0.7 : 6
Bittersweet:                         0.7 : 6
Earnest:                             0.7 : 6
Gentle:                              0.7 : 6
Plaintive:                           0.7 : 6
Poignant:                            0.7 : 6
Sweet:                               0.7 : 6
Weary:                               0.7 : 6
Wistful:                             0.7 : 6
Heartache:                           0.7 : 6
Introspection:                       0.7 : 6
Long Walk:                           0.7 : 6
Reflection:                          0.7 : 6
Atmospheric:                         0.6 : 5
Intimate:                            0.6 : 5
Reflective:                          0.6 : 5
Sparse:                              0.6 : 5
Autumn:                              0.6 : 5
Early Morning:                       0.6 : 5
Feeling Blue:                        0.6 : 5
Freedom:                             0.6 : 5
Rainy Day:                           0.6 : 5
