Club:                                0.9 : 9
Club/Dance:                          0.8500000000000001 : 8
Garage:                              0.8500000000000001 : 8
House:                               0.8500000000000001 : 8
Boisterous:                          0.8500000000000001 : 8
Rousing:                             0.8500000000000001 : 8
Slick:                               0.8500000000000001 : 8
Energetic:                           0.8 : 7
Dramatic:                            0.75 : 6
Hypnotic:                            0.75 : 6
Yearning:                            0.75 : 6
Exuberant:                           0.7 : 5
Rowdy:                               0.6 : 3
